Accident No,Year,Month of the Year,Date & Time,Severity level,Speed zones,Road Class,Rma All,Injury level,Lga Name,Lga Name All,Dca Code,Sub Dca Code,Vehicle dca code,Map,Long,Lat,Road Type,Road geometry
T20180008538,2018,May,05/05/18 14.03.00,Fatal accident                       ,50,Local roads,Local Road,Not injured                         ,DAREBIN,DAREBIN,121,NRQ,Vehcile 1,30   F 3 ,145.00165,-37.75229,STREET         ,Multiple intersection                    
T20180008538,2018,May,05/05/18 14.03.00,Fatal accident                       ,50,Local roads,Local Road,Not injured                         ,DAREBIN,DAREBIN,121,NRQ,Vehcile 1,30   F 3 ,145.00165,-37.75229,STREET         ,Multiple intersection                    
T20180008538,2018,May,05/05/18 14.03.00,Fatal accident                       ,50,Local roads,Local Road,Not injured                         ,DAREBIN,DAREBIN,121,NRQ,Vehcile 1,30   F 3 ,145.00165,-37.75229,STREET         ,Multiple intersection                    
T20150001278,2015,January,19/01/15 08.50.00,Other injury accident                    ,70,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MONASH,MONASH,130,A01,Not involved in initial event,71   C 3 ,145.16512,-37.88343,ROAD           ,Multiple intersection                    
T20150001278,2015,January,19/01/15 08.50.00,Other injury accident                    ,70,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MONASH,MONASH,130,N01,Not involved in initial event,71   C 3 ,145.16512,-37.88343,ROAD           ,Multiple intersection                    
T20150001278,2015,January,19/01/15 08.50.00,Other injury accident                    ,70,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MONASH,MONASH,130,A01,Not involved in initial event,71   C 3 ,145.16512,-37.88343,ROAD           ,Multiple intersection                    
T20150001278,2015,January,19/01/15 08.50.00,Other injury accident                    ,70,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,MONASH,MONASH,130,N01,Not involved in initial event,71   C 3 ,145.16512,-37.88343,ROAD           ,Multiple intersection                    
T20150016614,2015,August,01/08/15 13.00.00,Other injury accident                    ,80,Arterial highway,Arterial Highway,Other injury                        ,FRANKSTON,FRANKSTON,130,A01,Vehicle 2,100  B 5 ,145.16131000000001,-38.109429999999996,ROAD           ,Multiple intersection                    
T20150016614,2015,August,01/08/15 13.00.00,Other injury accident                    ,80,Arterial highway,Arterial Highway,Other injury                        ,FRANKSTON,FRANKSTON,130,N01,Vehicle 2,100  B 5 ,145.16131000000001,-38.109429999999996,ROAD           ,Multiple intersection                    
T20150016614,2015,August,01/08/15 13.00.00,Other injury accident                    ,80,Arterial highway,Arterial Highway,Other injury                        ,FRANKSTON,FRANKSTON,130,A01,Vehicle 2,100  B 5 ,145.16131000000001,-38.109429999999996,ROAD           ,Multiple intersection                    
T20150016614,2015,August,01/08/15 13.00.00,Other injury accident                    ,80,Arterial highway,Arterial Highway,Other injury                        ,FRANKSTON,FRANKSTON,130,N01,Vehicle 2,100  B 5 ,145.16131000000001,-38.109429999999996,ROAD           ,Multiple intersection                    
T20140024799,2014,November,18/11/14 18.27.00,Other injury accident                    ,Other speed limit,Arterial highway,Arterial Highway,Other injury                        ,BOROONDARA,BOROONDARA,136,N01,Vehicle 2,32   D 11,145.07852,-37.78096,RAMP OF        ,Multiple intersection                    
T20140024799,2014,November,18/11/14 18.27.00,Other injury accident                    ,Other speed limit,Arterial highway,Arterial Highway,Other injury                        ,BOROONDARA,BOROONDARA,136,Z07,Vehicle 2,32   D 11,145.07852,-37.78096,RAMP OF        ,Multiple intersection                    
T20140024799,2014,November,18/11/14 18.27.00,Other injury accident                    ,Other speed limit,Arterial highway,Arterial Highway,Other injury                        ,BOROONDARA,BOROONDARA,136,N01,Vehicle 2,32   D 11,145.07852,-37.78096,RAMP OF        ,Multiple intersection                    
T20140024799,2014,November,18/11/14 18.27.00,Other injury accident                    ,Other speed limit,Arterial highway,Arterial Highway,Other injury                        ,BOROONDARA,BOROONDARA,136,Z07,Vehicle 2,32   D 11,145.07852,-37.78096,RAMP OF        ,Multiple intersection                    
T20140013073,2014,June,25/06/14 12.18.00,Other injury accident                    ,60,Arterial highway,"Freeway,Arterial Highway",Other injury                        ,MELBOURNE,"MOONEE VALLEY,MELBOURNE",130,A01,Vehicle 2,2A   C 2 ,144.93704,-37.78886,               ,Multiple intersection                    
T20140013073,2014,June,25/06/14 12.18.00,Other injury accident                    ,60,Arterial highway,"Freeway,Arterial Highway",Other injury                        ,MELBOURNE,"MOONEE VALLEY,MELBOURNE",130,N01,Vehicle 2,2A   C 2 ,144.93704,-37.78886,               ,Multiple intersection                    
T20140013073,2014,June,25/06/14 12.18.00,Other injury accident                    ,60,Arterial highway,"Freeway,Arterial Highway",Other injury                        ,MELBOURNE,"MOONEE VALLEY,MELBOURNE",130,Z07,Vehicle 2,2A   C 2 ,144.93704,-37.78886,               ,Multiple intersection                    
T20140013073,2014,June,25/06/14 12.18.00,Other injury accident                    ,60,Arterial highway,"Freeway,Arterial Highway",Other injury                        ,MELBOURNE,"MOONEE VALLEY,MELBOURNE",130,A01,Vehicle 2,2A   C 2 ,144.93704,-37.78886,               ,Multiple intersection                    
T20140013073,2014,June,25/06/14 12.18.00,Other injury accident                    ,60,Arterial highway,"Freeway,Arterial Highway",Other injury                        ,MELBOURNE,"MOONEE VALLEY,MELBOURNE",130,N01,Vehicle 2,2A   C 2 ,144.93704,-37.78886,               ,Multiple intersection                    
T20140013073,2014,June,25/06/14 12.18.00,Other injury accident                    ,60,Arterial highway,"Freeway,Arterial Highway",Other injury                        ,MELBOURNE,"MOONEE VALLEY,MELBOURNE",130,Z07,Vehicle 2,2A   C 2 ,144.93704,-37.78886,               ,Multiple intersection                    
T20140026164,2014,December,17/12/14 18.15.00,Other injury accident                    ,60,Arterial highway,Arterial Highway,Other injury                        ,DAREBIN,DAREBIN,130,A04,Vehicle 2,19   A 8 ,145.02399,-37.72605,ROAD           ,Multiple intersection                    
T20140026164,2014,December,17/12/14 18.15.00,Other injury accident                    ,60,Arterial highway,Arterial Highway,Other injury                        ,DAREBIN,DAREBIN,130,N01,Vehicle 2,19   A 8 ,145.02399,-37.72605,ROAD           ,Multiple intersection                    
T20140026164,2014,December,17/12/14 18.15.00,Other injury accident                    ,60,Arterial highway,Arterial Highway,Other injury                        ,DAREBIN,DAREBIN,130,A04,Vehicle 2,19   A 8 ,145.02399,-37.72605,ROAD           ,Multiple intersection                    
T20140026164,2014,December,17/12/14 18.15.00,Other injury accident                    ,60,Arterial highway,Arterial Highway,Other injury                        ,DAREBIN,DAREBIN,130,N01,Vehicle 2,19   A 8 ,145.02399,-37.72605,ROAD           ,Multiple intersection                    
T20140016625,2014,August,11/08/14 21.00.00,Other injury accident                    ,60,Arterial highway,Arterial Highway,Not injured                         ,BOROONDARA,BOROONDARA,113,Z07,Vehicle 2,32   D 11,145.07852,-37.78096,FREEWAY        ,Multiple intersection                    
T20140016625,2014,August,11/08/14 21.00.00,Other injury accident                    ,60,Arterial highway,Arterial Highway,Not injured                         ,BOROONDARA,BOROONDARA,113,Z07,Vehicle 2,32   D 11,145.07852,-37.78096,FREEWAY        ,Multiple intersection                    
T20160015127,2016,June,24/06/16 19.30.00,Other injury accident                    ,Unknown,Arterial highway,"Freeway,Arterial Other,Arterial Highway",Not injured                         ,KINGSTON,KINGSTON,109,Z09,Vehcile 1,93   F 6 ,145.13305,-38.02588,FREEWAY        ,Multiple intersection                    
T20160015127,2016,June,24/06/16 19.30.00,Other injury accident                    ,Unknown,Arterial highway,"Freeway,Arterial Other,Arterial Highway",Not injured                         ,KINGSTON,KINGSTON,109,Z09,Vehcile 1,93   F 6 ,145.13305,-38.02588,FREEWAY        ,Multiple intersection                    
T20160013893,2016,June,25/06/16 06.05.00,Other injury accident                    ,80,Arterial highway,"Freeway,Arterial Other,Arterial Highway",Not injured                         ,KINGSTON,KINGSTON,113,Z07,Vehicle 2,93   F 6 ,145.13305,-38.02588,ROAD           ,Multiple intersection                    
T20160013893,2016,June,25/06/16 06.05.00,Other injury accident                    ,80,Arterial highway,"Freeway,Arterial Other,Arterial Highway",Not injured                         ,KINGSTON,KINGSTON,113,Z07,Vehicle 2,93   F 6 ,145.13305,-38.02588,ROAD           ,Multiple intersection                    
T20160004428,2016,February,27/02/16 21.27.00,Fatal accident                       ,60,Arterial highway,"Arterial Highway,Local Road,Arterial Other",Not injured                         ,DAREBIN,DAREBIN,100,A03,Vehcile 1,30   D 10,144.98973999999998,-37.77652,ROAD           ,Multiple intersection                    
T20160004428,2016,February,27/02/16 21.27.00,Fatal accident                       ,60,Arterial highway,"Arterial Highway,Local Road,Arterial Other",Not injured                         ,DAREBIN,DAREBIN,100,B01,Vehcile 1,30   D 10,144.98973999999998,-37.77652,ROAD           ,Multiple intersection                    
T20160004428,2016,February,27/02/16 21.27.00,Fatal accident                       ,60,Arterial highway,"Arterial Highway,Local Road,Arterial Other",Not injured                         ,DAREBIN,DAREBIN,100,A03,Vehcile 1,30   D 10,144.98973999999998,-37.77652,ROAD           ,Multiple intersection                    
T20160004428,2016,February,27/02/16 21.27.00,Fatal accident                       ,60,Arterial highway,"Arterial Highway,Local Road,Arterial Other",Not injured                         ,DAREBIN,DAREBIN,100,B01,Vehcile 1,30   D 10,144.98973999999998,-37.77652,ROAD           ,Multiple intersection                    
T20180004195,2018,March,05/03/18 08.38.00,Other injury accident                    ,80,Arterial highway,"Freeway,Arterial Highway",Not injured                         ,KNOX,KNOX,149,Z02,Vehcile 1,81   D 2 ,145.21243,-37.92541,RAMP ON        ,Multiple intersection                    
T20140011194,2014,May,30/05/14 19.31.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,GEELONG,GEELONG,170,V02,Not involved in initial event,451  F 9 ,144.33108000000001,-38.168240000000004,ROAD           ,Multiple intersection                    
T20140011194,2014,May,30/05/14 19.31.00,Other injury accident                    ,60,Arterial other,"Arterial Other,Local Road",Not injured                         ,GEELONG,GEELONG,170,V02,Not involved in initial event,451  F 9 ,144.33108000000001,-38.168240000000004,ROAD           ,Multiple intersection                    
