Accident No,Year,Month of the Year,Severity level,Speed zones,Injury level,Map,Long,Lat,Road Type,Road geometry
T20140023145,2014,November,Fatal accident                       ,100,Fatality                          ,44   E 8 ,144.21200000000002,-36.88524,HIGHWAY        ,Cross intersection                     
T20140023145,2014,November,Fatal accident                       ,100,Fatality                          ,44   E 8 ,144.21200000000002,-36.88524,HIGHWAY        ,Cross intersection                     
T20160015285,2016,July,Serious injury accident                   ,80,Serious injury                       ,88   J 8 ,145.1447,-37.99085,ROAD           ,Cross intersection                     
T20160015285,2016,July,Serious injury accident                   ,80,Serious injury                       ,88   J 8 ,145.1447,-37.99085,ROAD           ,Cross intersection                     
T20160000264,2016,January,Serious injury accident                   ,80,Serious injury                       ,58   H 9 ,145.01054,-37.8601,ROAD           ,Cross intersection                     
T20160000264,2016,January,Serious injury accident                   ,80,Serious injury                       ,58   H 9 ,145.01054,-37.8601,ROAD           ,Cross intersection                     
T20150010194,2015,May,Fatal accident                       ,100,Fatality                          ,31   H 5 ,144.94821000000002,-36.19897,HIGHWAY        ,Cross intersection                     
T20150010194,2015,May,Fatal accident                       ,100,Fatality                          ,31   H 5 ,144.94821000000002,-36.19897,HIGHWAY        ,Cross intersection                     
T20150010194,2015,May,Fatal accident                       ,100,Fatality                          ,31   H 5 ,144.94821000000002,-36.19897,HIGHWAY        ,Cross intersection                     
T20150010194,2015,May,Fatal accident                       ,100,Fatality                          ,31   H 5 ,144.94821000000002,-36.19897,HIGHWAY        ,Cross intersection                     
T20150012062,2015,June,Fatal accident                       ,100,Fatality                          ,84   B 7 ,147.56632,-37.8476,HIGHWAY        ,Cross intersection                     
T20150012062,2015,June,Fatal accident                       ,100,Fatality                          ,84   B 7 ,147.56632,-37.8476,HIGHWAY        ,Cross intersection                     
T20140009430,2014,May,Fatal accident                       ,100,Fatality                          ,102  E 3 ,145.71787,-38.57367,ROAD           ,Cross intersection                     
T20140009430,2014,May,Fatal accident                       ,100,Fatality                          ,102  E 3 ,145.71787,-38.57367,ROAD           ,Cross intersection                     
T20160017593,2016,August,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20160017593,2016,August,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20160017593,2016,August,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20160017593,2016,August,Serious injury accident                   ,80,Serious injury                       ,131  B 3 ,145.33845,-38.05993,ROAD           ,Cross intersection                     
T20160003230,2016,February,Serious injury accident                   ,Unknown,Serious injury                       ,358  G 4 ,144.73969,-37.75594,BOULEVARD      ,Cross intersection                     
T20160003230,2016,February,Serious injury accident                   ,Unknown,Serious injury                       ,358  G 4 ,144.73969,-37.75594,BOULEVARD      ,Cross intersection                     
T20160012439,2016,June,Fatal accident                       ,80,Fatality                          ,5    K 5 ,144.88549,-37.66981,ROAD           ,Cross intersection                     
T20160012439,2016,June,Fatal accident                       ,80,Fatality                          ,5    K 5 ,144.88549,-37.66981,ROAD           ,Cross intersection                     
T20140024435,2014,November,Serious injury accident                   ,60,Serious injury                       ,437  A 10,144.94444,-37.83127,ROAD           ,Cross intersection                     
T20140024435,2014,November,Serious injury accident                   ,60,Serious injury                       ,437  A 10,144.94444,-37.83127,ROAD           ,Cross intersection                     
T20140024435,2014,November,Serious injury accident                   ,60,Serious injury                       ,437  A 10,144.94444,-37.83127,ROAD           ,Cross intersection                     
T20140024435,2014,November,Serious injury accident                   ,60,Serious injury                       ,437  A 10,144.94444,-37.83127,ROAD           ,Cross intersection                     
T20160003954,2016,February,Serious injury accident                   ,60,Serious injury                       ,502  D 4 ,141.62975,-38.133359999999996,STREET         ,Cross intersection                     
T20160003954,2016,February,Serious injury accident                   ,60,Serious injury                       ,502  D 4 ,141.62975,-38.133359999999996,STREET         ,Cross intersection                     
T20160002212,2016,February,Serious injury accident                   ,60,Serious injury                       ,104  J 11,145.05681,-38.2204,ROAD           ,Cross intersection                     
T20160002212,2016,February,Serious injury accident                   ,60,Serious injury                       ,104  J 11,145.05681,-38.2204,ROAD           ,Cross intersection                     
