Accident No,Year,Month of the Year,Severity level,Speed zones,Injury level,Map,Long,Lat,Road Type,Road geometry
T20160016132,2016,July,Serious injury accident                   ,80,Serious injury                       ,663  L 12,145.96086,-36.57861,ROAD           ,Multiple intersection                    
T20160016132,2016,July,Serious injury accident                   ,80,Serious injury                       ,663  L 12,145.96086,-36.57861,ROAD           ,Multiple intersection                    
T20160009914,2016,May,Serious injury accident                   ,70,Serious injury                       ,103  E 1 ,145.17356999999998,-38.141529999999996,ROAD           ,Multiple intersection                    
T20160009914,2016,May,Serious injury accident                   ,70,Serious injury                       ,103  E 1 ,145.17356999999998,-38.141529999999996,ROAD           ,Multiple intersection                    
T20160002007,2016,January,Serious injury accident                   ,60,Serious injury                       ,5    J 10,144.88192,-37.69101,ROAD           ,Multiple intersection                    
T20160002007,2016,January,Serious injury accident                   ,60,Serious injury                       ,5    J 10,144.88192,-37.69101,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20140016948,2014,August,Serious injury accident                   ,50,Serious injury                       ,47   F 4 ,145.13438,-37.79937,ROAD           ,Multiple intersection                    
T20160008201,2016,April,Serious injury accident                   ,Unknown,Serious injury                       ,23   B 7 ,145.20323,-37.72246,ROAD           ,Multiple intersection                    
T20160008201,2016,April,Serious injury accident                   ,Unknown,Serious injury                       ,23   B 7 ,145.20323,-37.72246,ROAD           ,Multiple intersection                    
T20160018695,2016,August,Serious injury accident                   ,80,Serious injury                       ,215  F 4 ,145.44263999999998,-38.061809999999994,HIGHWAY        ,Multiple intersection                    
T20160010940,2016,May,Serious injury accident                   ,80,Serious injury                       ,10   G 12,145.0923,-37.69522,HIGHWAY        ,Multiple intersection                    
T20160010940,2016,May,Serious injury accident                   ,80,Serious injury                       ,10   G 12,145.0923,-37.69522,HIGHWAY        ,Multiple intersection                    
T20170019197,2017,October,Serious injury accident                   ,70,Serious injury                       ,7    G 11,144.95833000000002,-37.69175,ROAD           ,Multiple intersection                    
T20170019197,2017,October,Serious injury accident                   ,70,Serious injury                       ,7    G 11,144.95833000000002,-37.69175,ROAD           ,Multiple intersection                    
T20170019197,2017,October,Serious injury accident                   ,70,Serious injury                       ,7    G 11,144.95833000000002,-37.69175,ROAD           ,Multiple intersection                    
T20170019197,2017,October,Serious injury accident                   ,70,Serious injury                       ,7    G 11,144.95833000000002,-37.69175,ROAD           ,Multiple intersection                    
T20170019197,2017,October,Serious injury accident                   ,70,Serious injury                       ,7    G 11,144.95833000000002,-37.69175,ROAD           ,Multiple intersection                    
T20170019197,2017,October,Serious injury accident                   ,70,Serious injury                       ,7    G 11,144.95833000000002,-37.69175,ROAD           ,Multiple intersection                    
T20170003830,2017,February,Serious injury accident                   ,60,Serious injury                       ,9    B 9 ,145.02866,-37.68629,ROAD           ,Multiple intersection                    
T20170003830,2017,February,Serious injury accident                   ,60,Serious injury                       ,9    B 9 ,145.02866,-37.68629,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150012204,2015,June,Serious injury accident                   ,60,Serious injury                       ,437  C 12,144.98966000000001,-37.87213,ROAD           ,Multiple intersection                    
T20150015509,2015,July,Serious injury accident                   ,70,Serious injury                       ,10   A 9 ,145.06731000000002,-37.68701,ROAD           ,Multiple intersection                    
T20150015509,2015,July,Serious injury accident                   ,70,Serious injury                       ,10   A 9 ,145.06731000000002,-37.68701,ROAD           ,Multiple intersection                    
T20150015509,2015,July,Serious injury accident                   ,70,Serious injury                       ,10   A 9 ,145.06731000000002,-37.68701,ROAD           ,Multiple intersection                    
T20150015509,2015,July,Serious injury accident                   ,70,Serious injury                       ,10   A 9 ,145.06731000000002,-37.68701,ROAD           ,Multiple intersection                    
T20150008118,2015,April,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20150008118,2015,April,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20150008118,2015,April,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20150008118,2015,April,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20140022701,2014,November,Serious injury accident                   ,70,Serious injury                       ,441  C 4 ,144.32198,-38.1065,ROAD           ,Multiple intersection                    
T20140022701,2014,November,Serious injury accident                   ,70,Serious injury                       ,441  C 4 ,144.32198,-38.1065,ROAD           ,Multiple intersection                    
T20180006668,2018,April,Serious injury accident                   ,80,Serious injury                       ,10   A 9 ,145.06769,-37.68707,ROAD           ,Multiple intersection                    
T20180006668,2018,April,Serious injury accident                   ,80,Serious injury                       ,10   A 9 ,145.06769,-37.68707,ROAD           ,Multiple intersection                    
T20160004761,2016,March,Serious injury accident                   ,60,Serious injury                       ,437  C 11,144.9831,-37.857859999999995,ROAD           ,Multiple intersection                    
T20160004761,2016,March,Serious injury accident                   ,60,Serious injury                       ,437  C 11,144.9831,-37.857859999999995,ROAD           ,Multiple intersection                    
T20140010416,2014,May,Serious injury accident                   ,100,Serious injury                       ,41   A 9 ,142.55943,-36.94279,HIGHWAY        ,Multiple intersection                    
T20140010416,2014,May,Serious injury accident                   ,100,Serious injury                       ,41   A 9 ,142.55943,-36.94279,HIGHWAY        ,Multiple intersection                    
T20140026382,2014,December,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20140026382,2014,December,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20140026382,2014,December,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20140026382,2014,December,Serious injury accident                   ,80,Serious injury                       ,63   D 9 ,145.2112,-37.86102,HIGHWAY        ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190004790,2019,March,Serious injury accident                   ,60,Serious injury                       ,551  R 8 ,143.25461,-36.61235,ROAD           ,Multiple intersection                    
T20190006233,2019,April,Serious injury accident                   ,80,Serious injury                       ,100  B 5 ,145.16131000000001,-38.109429999999996,ROAD           ,Multiple intersection                    
T20190006233,2019,April,Serious injury accident                   ,80,Serious injury                       ,100  B 5 ,145.16131000000001,-38.109429999999996,ROAD           ,Multiple intersection                    
T20190003845,2019,February,Serious injury accident                   ,80,Serious injury                       ,25   K 8 ,144.796,-37.77029,ROAD           ,Multiple intersection                    
T20190003845,2019,February,Serious injury accident                   ,80,Serious injury                       ,25   K 8 ,144.796,-37.77029,ROAD           ,Multiple intersection                    
T20190003845,2019,February,Serious injury accident                   ,80,Serious injury                       ,25   K 8 ,144.796,-37.77029,ROAD           ,Multiple intersection                    
