Accident No,Year,Month of the Year,Severity level,Speed zones,Injury level,Map,Long,Lat,Road Type,Road geometry
T20140026552,2014,December,Fatal accident                       ,80,Fatality                          ,62   E 3 ,145.17141999999998,-37.84109,ROAD           ,T intersection                      
T20140026552,2014,December,Fatal accident                       ,80,Fatality                          ,62   E 3 ,145.17141999999998,-37.84109,ROAD           ,T intersection                      
T20140024637,2014,November,Fatal accident                       ,100,Fatality                          ,34   H 2 ,146.40968,-36.06129,HIGHWAY        ,T intersection                      
T20140024637,2014,November,Fatal accident                       ,100,Fatality                          ,34   H 2 ,146.40968,-36.06129,HIGHWAY        ,T intersection                      
T20160002648,2016,January,Serious injury accident                   ,80,Serious injury                       ,79   H 2 ,145.14359,-37.9247,ROAD           ,T intersection                      
T20160002648,2016,January,Serious injury accident                   ,80,Serious injury                       ,79   H 2 ,145.14359,-37.9247,ROAD           ,T intersection                      
T20160002648,2016,January,Serious injury accident                   ,80,Serious injury                       ,79   H 2 ,145.14359,-37.9247,ROAD           ,T intersection                      
T20160002648,2016,January,Serious injury accident                   ,80,Serious injury                       ,79   H 2 ,145.14359,-37.9247,ROAD           ,T intersection                      
T20140020440,2014,October,Serious injury accident                   ,60,Serious injury                       ,202  F 10,144.69116,-37.86356,ROAD           ,T intersection                      
T20140020440,2014,October,Serious injury accident                   ,60,Serious injury                       ,202  F 10,144.69116,-37.86356,ROAD           ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20140016955,2014,August,Serious injury accident                   ,Unknown,Serious injury                       ,69   B 3 ,145.0729,-37.885,PARADE         ,T intersection                      
T20160013714,2016,June,Fatal accident                       ,70,Fatality                          ,26   E 10,144.82039,-37.77616,ROAD           ,T intersection                      
T20160013714,2016,June,Fatal accident                       ,70,Fatality                          ,26   E 10,144.82039,-37.77616,ROAD           ,T intersection                      
T20160013714,2016,June,Fatal accident                       ,70,Fatality                          ,26   E 10,144.82039,-37.77616,ROAD           ,T intersection                      
T20160013714,2016,June,Fatal accident                       ,70,Fatality                          ,26   E 10,144.82039,-37.77616,ROAD           ,T intersection                      
T20140020830,2014,October,Serious injury accident                   ,70,Serious injury                       ,61   K 5 ,145.15288,-37.84811,ROAD           ,T intersection                      
T20140020830,2014,October,Serious injury accident                   ,70,Serious injury                       ,61   K 5 ,145.15288,-37.84811,ROAD           ,T intersection                      
T20140018341,2014,September,Serious injury accident                   ,60,Serious injury                       ,207  B 1 ,144.71813999999998,-37.874959999999994,ROAD           ,T intersection                      
T20140018341,2014,September,Serious injury accident                   ,60,Serious injury                       ,207  B 1 ,144.71813999999998,-37.874959999999994,ROAD           ,T intersection                      
T20140018341,2014,September,Serious injury accident                   ,60,Serious injury                       ,207  B 1 ,144.71813999999998,-37.874959999999994,ROAD           ,T intersection                      
T20140018341,2014,September,Serious injury accident                   ,60,Serious injury                       ,207  B 1 ,144.71813999999998,-37.874959999999994,ROAD           ,T intersection                      
T20160017866,2016,August,Serious injury accident                   ,60,Serious injury                       ,2G   G 8 ,144.98933,-37.821740000000005,ROAD           ,T intersection                      
T20160017866,2016,August,Serious injury accident                   ,60,Serious injury                       ,2G   G 8 ,144.98933,-37.821740000000005,ROAD           ,T intersection                      
T20160017866,2016,August,Serious injury accident                   ,60,Serious injury                       ,2G   G 8 ,144.98933,-37.821740000000005,ROAD           ,T intersection                      
T20160017866,2016,August,Serious injury accident                   ,60,Serious injury                       ,2G   G 8 ,144.98933,-37.821740000000005,ROAD           ,T intersection                      
T20140016447,2014,August,Serious injury accident                   ,80,Serious injury                       ,89   K 2 ,145.19615,-37.9685,HIGHWAY EAST   ,T intersection                      
T20140016447,2014,August,Serious injury accident                   ,80,Serious injury                       ,89   K 2 ,145.19615,-37.9685,HIGHWAY EAST   ,T intersection                      
T20140016447,2014,August,Serious injury accident                   ,80,Serious injury                       ,89   K 2 ,145.19615,-37.9685,HIGHWAY EAST   ,T intersection                      
T20140016447,2014,August,Serious injury accident                   ,80,Serious injury                       ,89   K 2 ,145.19615,-37.9685,HIGHWAY EAST   ,T intersection                      
T20180004367,2018,March,Serious injury accident                   ,70,Serious injury                       ,465  F 2 ,144.33226000000002,-38.185159999999996,AVENUE         ,T intersection                      
T20180004367,2018,March,Serious injury accident                   ,70,Serious injury                       ,465  F 2 ,144.33226000000002,-38.185159999999996,AVENUE         ,T intersection                      
T20140014837,2014,July,Fatal accident                       ,60,Fatality                          ,697  L 6 ,146.55196,-38.19592,STREET         ,T intersection                      
T20140014837,2014,July,Fatal accident                       ,60,Fatality                          ,697  L 6 ,146.55196,-38.19592,STREET         ,T intersection                      
T20140024443,2014,November,Fatal accident                       ,80,Serious injury                       ,151  C 5 ,145.03093,-38.28577,HIGHWAY        ,T intersection                      
T20140024443,2014,November,Fatal accident                       ,80,Serious injury                       ,151  C 5 ,145.03093,-38.28577,HIGHWAY        ,T intersection                      
T20140019339,2014,September,Fatal accident                       ,60,Serious injury                       ,86   K 1 ,145.06078,-37.966029999999996,ROAD           ,T intersection                      
T20140019339,2014,September,Fatal accident                       ,60,Serious injury                       ,86   K 1 ,145.06078,-37.966029999999996,ROAD           ,T intersection                      
T20140008391,2014,April,Serious injury accident                   ,100,Serious injury                       ,32   E 8 ,145.22263,-36.41411,HIGHWAY        ,T intersection                      
T20140008391,2014,April,Serious injury accident                   ,100,Serious injury                       ,32   E 8 ,145.22263,-36.41411,HIGHWAY        ,T intersection                      
T20140008391,2014,April,Serious injury accident                   ,100,Serious injury                       ,32   E 8 ,145.22263,-36.41411,HIGHWAY        ,T intersection                      
T20140008391,2014,April,Serious injury accident                   ,100,Serious injury                       ,32   E 8 ,145.22263,-36.41411,HIGHWAY        ,T intersection                      
T20140005529,2014,March,Serious injury accident                   ,60,Serious injury                       ,60   G 7 ,145.09511,-37.85335,HIGHWAY        ,T intersection                      
