Accident No,Year,Month of the Year,Date & Time,Severity level,Speed zones,Road Class,Rma All,Injury level,Lga Name,Lga Name All,Dca Code,Sub Dca Code,Vehicle dca code,Map,Long,Lat,Road Type,Road geometry
T20140023293,2014,November,10/11/14 18.40.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,HORSHAM,HORSHAM,113,NRQ,Vehicle 2,544  G 7 ,142.20494,-36.72305,STREET         ,Y intersection                      
T20140023293,2014,November,10/11/14 18.40.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Not injured                         ,HORSHAM,HORSHAM,113,NRQ,Vehicle 2,544  G 7 ,142.20494,-36.72305,STREET         ,Y intersection                      
T20180003150,2018,February,18/02/18 19.23.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Arterial Other",Not injured                         ,PORT PHILLIP,PORT PHILLIP,119,NRQ,Vehcile 1,437  B 10,144.97321000000002,-37.83635,WAY            ,Y intersection                      
T20180003150,2018,February,18/02/18 19.23.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Arterial Other",Not injured                         ,PORT PHILLIP,PORT PHILLIP,119,NRQ,Vehcile 1,437  B 10,144.97321000000002,-37.83635,WAY            ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,A01,Vehicle 2,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,N01,Vehicle 2,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,A01,Vehicle 2,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20150013275,2015,June,22/06/15 14.00.00,Other injury accident                    ,60,Arterial highway,"Arterial Highway,Local Road",Other injury                        ,MORNINGTON PENINSULA,MORNINGTON PENINSULA,130,N01,Vehicle 2,145  E 2 ,145.04034,-38.23291,ROAD           ,Y intersection                      
T20140025978,2014,October,11/10/14 10.00.00,Other injury accident                    ,Unknown,Local roads,Local Road,Other injury                        ,BAW BAW,BAW BAW,174,NRQ,Vehcile 1,81   H 9 ,146.40977,-37.95734,ROAD           ,Y intersection                      
T20140025978,2014,October,11/10/14 10.00.00,Other injury accident                    ,Unknown,Local roads,Local Road,Other injury                        ,BAW BAW,BAW BAW,174,NRQ,Vehcile 1,81   H 9 ,146.40977,-37.95734,ROAD           ,Y intersection                      
